-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         aten::_to_copy         0.01%      38.030us         0.09%     316.749us      26.396us       0.000us         0.00%      12.705us       1.059us           0 B           0 B     129.00 KB           0 B            12  
                                    aten::empty_strided         0.10%     360.973us         0.10%     362.846us       4.774us       0.000us         0.00%       0.000us       0.000us           0 B           0 B       7.14 MB       7.14 MB            76  
                                  cudaStreamIsCapturing         0.00%      11.753us         0.00%      11.753us       0.735us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            16  
                                        cudaMemcpyAsync         0.11%     409.094us         0.11%     409.094us       9.091us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            45  
                               cudaEventRecordWithFlags         0.00%       8.065us         0.00%       8.065us       2.016us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             4  
                                         cudaEventQuery         0.00%       3.536us         0.00%       3.536us       1.768us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                            aten::slice         0.08%     283.491us         0.10%     372.582us       1.540us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           242  
                                       aten::as_strided         0.09%     321.008us         0.09%     321.008us       0.481us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           667  
                                          aten::flatten         0.01%      24.163us         0.01%      28.962us       0.446us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            65  
                                             aten::view         0.07%     240.930us         0.07%     240.930us       0.570us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           423  
                                     aten::index_select         0.01%      28.022us         0.02%      69.692us      34.846us       0.000us         0.00%       1.952us       0.976us           0 B           0 B     224.00 KB           0 B             2  
                                           aten::detach         0.00%       6.272us         0.00%       6.272us       3.136us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                     aten::resolve_conj         0.00%       2.214us         0.00%       2.214us       0.738us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                      aten::resolve_neg         0.00%       0.762us         0.00%       0.762us       0.254us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                       cudaLaunchKernel         0.50%       1.779ms         0.54%       1.939ms       7.077us       0.000us         0.00%       6.208us       0.023us           0 B           0 B           0 B           0 B           274  
                                          aten::reshape         0.01%      44.017us         0.02%      74.801us       1.100us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            68  
                                       cuLaunchKernelEx         0.01%      18.795us         0.01%      18.795us      18.795us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                               aten::lt         0.01%      23.895us         0.01%      23.895us      23.895us       0.000us         0.00%       0.000us       0.000us           1 B           1 B           0 B           0 B             1  
                                        cudaEventRecord         0.00%       7.074us         0.00%       7.074us       2.358us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                        aten::embedding         0.00%       3.216us         0.02%      67.167us      67.167us       0.000us         0.00%       1.952us       1.952us           0 B           0 B     224.00 KB           0 B             1  
                                          aten::resize_         0.00%       5.831us         0.00%       5.831us       5.831us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     224.00 KB     224.00 KB             1  
                                           aten::expand         0.03%     121.925us         0.04%     151.220us       1.559us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            97  
                                           aten::linear         0.05%     182.675us         1.12%       4.031ms      41.556us       0.000us         0.00%       2.333ms      24.052us           0 B           0 B      17.58 MB           0 B            97  
                                                aten::t         0.05%     184.675us         0.11%     393.711us       4.059us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            97  
                                        aten::transpose         0.03%     121.845us         0.06%     209.036us       2.155us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            97  
                                           aten::matmul         0.05%     164.177us         0.96%       3.455ms      35.614us       0.000us         0.00%       2.333ms      24.052us           0 B           0 B      17.58 MB           0 B            97  
                                 cudaDeviceGetAttribute         0.02%      75.720us         0.02%      75.720us       0.394us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           192  
                                         cuLaunchKernel         0.16%     576.598us         0.16%     576.598us       6.006us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            96  
                                    cudaLaunchKernelExC         0.25%     900.851us         0.25%     900.851us       4.692us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           192  
                                 aten::split_with_sizes         0.02%      80.911us         0.03%     114.194us       3.569us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            32  
                          vllm::unified_kv_cache_update         0.17%     593.623us         0.38%       1.366ms      42.678us       0.000us         0.00%      68.672us       2.146us           0 B           0 B           0 B           0 B            32  
                                           aten::unbind         0.05%     167.660us         0.11%     395.076us       6.173us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            64  
                                           aten::select         0.04%     152.542us         0.06%     227.416us       1.777us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           128  
                    vllm::unified_attention_with_output         0.43%       1.530ms        10.75%      38.543ms       1.204ms       0.000us         0.00%     200.379us       6.262us           0 B           0 B           0 B    -128.00 KB            32  
                                       aten::empty_like         0.02%      83.248us         0.10%     374.217us       5.847us       0.000us         0.00%       0.000us       0.000us           0 B           0 B       7.02 MB           0 B            64  
                                   cudaFuncSetAttribute         0.17%     621.473us        10.01%      35.908ms     187.021us       0.000us         0.00%       9.920us       0.052us           0 B           0 B           0 B           0 B           192  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.02%      84.215us         0.02%      84.215us       1.316us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            64  
                                            aten::alias         0.01%      28.484us         0.01%      28.484us       0.863us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            33  
                                       aten::index_put_         0.00%       5.019us         0.04%     126.438us     126.438us       0.000us         0.00%       5.856us       5.856us           0 B           0 B           0 B           0 B             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 B           0 B    -420.00 KB    -420.00 KB             5  
                                        aten::unsqueeze         0.00%       1.372us         0.00%       1.723us       1.723us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 358.552ms
Self CUDA time total: 58.262ms

