-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
phase7_attention_step=0;layer=model.layers.8.self_at...         0.00%       0.000us         0.00%       0.000us       0.000us      53.600us         0.01%      53.600us      53.600us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=0;layer=model.layers.18.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      53.600us         0.01%      53.600us      53.600us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=0;layer=model.layers.28.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      53.536us         0.01%      53.536us      53.536us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=0;layer=model.layers.16.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      53.504us         0.01%      53.504us      53.504us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=0;layer=model.layers.14.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      53.472us         0.01%      53.472us      53.472us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=0;layer=model.layers.26.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      53.472us         0.01%      53.472us      53.472us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=0;layer=model.layers.27.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      53.311us         0.01%      53.311us      53.311us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=0;layer=model.layers.25.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      53.280us         0.01%      53.280us      53.280us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=0;layer=model.layers.13.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      53.280us         0.01%      53.280us      53.280us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=0;layer=model.layers.21.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      53.215us         0.01%      53.215us      53.215us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=0;layer=model.layers.30.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      53.120us         0.01%      53.120us      53.120us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=0;layer=model.layers.1.self_at...         0.00%       0.000us         0.00%       0.000us       0.000us      53.119us         0.01%      53.119us      53.119us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=0;layer=model.layers.31.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      53.088us         0.01%      53.088us      53.088us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=0;layer=model.layers.17.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      52.928us         0.01%      52.928us      52.928us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=0;layer=model.layers.9.self_at...         0.00%       0.000us         0.00%       0.000us       0.000us      52.928us         0.01%      52.928us      52.928us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=0;layer=model.layers.20.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      52.928us         0.01%      52.928us      52.928us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=0;layer=model.layers.12.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      52.896us         0.01%      52.896us      52.896us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=0;layer=model.layers.15.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      52.864us         0.01%      52.864us      52.864us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=0;layer=model.layers.3.self_at...         0.00%       0.000us         0.00%       0.000us       0.000us      52.832us         0.01%      52.832us      52.832us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=0;layer=model.layers.10.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      52.735us         0.01%      52.735us      52.735us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=0;layer=model.layers.23.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      52.704us         0.01%      52.704us      52.704us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=0;layer=model.layers.29.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      52.704us         0.01%      52.704us      52.704us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=0;layer=model.layers.7.self_at...         0.00%       0.000us         0.00%       0.000us       0.000us      52.640us         0.01%      52.640us      52.640us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=0;layer=model.layers.6.self_at...         0.00%       0.000us         0.00%       0.000us       0.000us      52.576us         0.01%      52.576us      52.576us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=0;layer=model.layers.11.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      52.576us         0.01%      52.576us      52.576us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=0;layer=model.layers.5.self_at...         0.00%       0.000us         0.00%       0.000us       0.000us      52.512us         0.01%      52.512us      52.512us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=0;layer=model.layers.19.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      52.256us         0.01%      52.256us      52.256us           0 B           0 B           0 B           0 B             1  
                       Runtime Triggered Module Loading         4.95%      37.242ms         4.95%      37.242ms      37.242ms      48.447us         0.01%      48.447us      48.447us           0 B           0 B           0 B           0 B             1  
                                    Command Buffer Full         7.14%      53.689ms         7.14%      53.689ms       4.881ms      44.063us         0.01%      44.063us       4.006us           0 B           0 B           0 B           0 B            11  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      29.216us         0.01%      29.216us       4.869us           0 B           0 B           0 B           0 B             6  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      19.681us         0.00%      19.681us       1.093us           0 B           0 B           0 B           0 B            18  
                                            aten::index         0.01%      87.067us         0.03%     245.316us      61.329us      19.584us         0.00%      26.208us       6.552us           0 B           0 B      24.00 KB      23.00 KB             4  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 752.205ms
Self CUDA time total: 453.596ms

