-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     394.780us         0.00%     394.780us       0.585us           0 B           0 B           0 B           0 B           675  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     232.287us         0.00%     232.287us       0.807us           0 B           0 B           0 B           0 B           288  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     223.005us         0.00%     223.005us       2.323us           0 B           0 B           0 B           0 B            96  
                                              aten::add         0.00%       1.628ms         0.01%       2.742ms       9.522us     221.223us         0.00%     223.496us       0.776us           0 B           0 B     127.50 KB     127.50 KB           288  
                                 aten::_index_put_impl_         0.00%       1.229ms         0.01%       4.460ms      46.458us     214.816us         0.00%     459.265us       4.784us           0 B           0 B           0 B     -96.00 KB            96  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     214.816us         0.00%     214.816us       2.238us           0 B           0 B           0 B           0 B            96  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     213.570us         0.00%     213.570us       2.225us           0 B           0 B           0 B           0 B            96  
                                           _C::rms_norm         0.00%     623.351us         0.00%       1.242ms      12.937us     198.081us         0.00%     198.081us       2.063us           0 B           0 B           0 B           0 B            96  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 2>(c10:...         0.00%       0.000us         0.00%       0.000us       0.000us     198.081us         0.00%     198.081us       2.063us           0 B           0 B           0 B           0 B            96  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     197.248us         0.00%     197.248us       2.055us           0 B           0 B           0 B           0 B            96  
