-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        aten::embedding         0.00%      11.364us         0.03%     231.122us      46.224us       0.000us         0.00%       8.384us       1.677us           0 B           0 B       8.01 MB           0 B             5  
                                          aten::resize_         0.00%      18.486us         0.00%      18.486us       3.697us       0.000us         0.00%       0.000us       0.000us           0 B           0 B       8.01 MB       8.01 MB             5  
                                           aten::expand         0.07%     561.622us         0.08%     695.067us       1.436us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           484  
                                           aten::linear         0.11%     904.923us         2.58%      21.874ms      45.101us       0.000us         0.00%      13.711ms      28.270us           0 B           0 B     769.45 MB           0 B           485  
                                                aten::t         0.11%     895.062us         0.22%       1.894ms       3.906us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           485  
                                        aten::transpose         0.08%     647.435us         0.13%       1.086ms       1.979us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           549  
                                           aten::matmul         0.09%     790.248us         2.25%      19.074ms      39.329us       0.000us         0.00%      13.711ms      28.270us           0 B           0 B     769.45 MB           0 B           485  
                                 cudaDeviceGetAttribute         0.04%     358.927us         0.04%     358.927us       0.387us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           928  
                                        cudaMemsetAsync         0.17%       1.404ms         0.54%       4.584ms      17.906us       0.000us         0.00%      66.049us       0.258us           0 B           0 B           0 B           0 B           256  
                                         cuLaunchKernel         0.29%       2.432ms         0.29%       2.432ms       5.846us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           416  
                                 aten::split_with_sizes         0.05%     396.284us         0.07%     561.917us       3.512us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           160  
                          vllm::unified_kv_cache_update         0.34%       2.857ms         0.80%       6.762ms      42.263us       0.000us         0.00%     316.429us       1.978us           0 B           0 B           0 B           0 B           160  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 847.673ms
Self CUDA time total: 445.401ms

