-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      55.710us         0.01%      55.710us       0.763us           0 B           0 B           0 B           0 B            73  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      48.895us         0.01%      48.895us       5.433us           0 B           0 B           0 B           0 B             9  
phase7_attention_step=7;layer=model.layers.0.self_at...         0.00%       0.000us         0.00%       0.000us       0.000us      45.120us         0.01%      45.120us      45.120us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=7;layer=model.layers.27.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      44.800us         0.01%      44.800us      44.800us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=7;layer=model.layers.31.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      44.800us         0.01%      44.800us      44.800us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=7;layer=model.layers.7.self_at...         0.00%       0.000us         0.00%       0.000us       0.000us      44.799us         0.01%      44.799us      44.799us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=7;layer=model.layers.22.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      44.736us         0.01%      44.736us      44.736us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=7;layer=model.layers.20.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      44.640us         0.01%      44.640us      44.640us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=7;layer=model.layers.28.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      44.480us         0.01%      44.480us      44.480us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=7;layer=model.layers.18.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      44.448us         0.01%      44.448us      44.448us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=7;layer=model.layers.6.self_at...         0.00%       0.000us         0.00%       0.000us       0.000us      44.416us         0.01%      44.416us      44.416us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=7;layer=model.layers.30.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      44.256us         0.01%      44.256us      44.256us           0 B           0 B           0 B           0 B             1  
phase7_attention_step=7;layer=model.layers.21.self_a...         0.00%       0.000us         0.00%       0.000us       0.000us      44.255us         0.01%      44.255us      44.255us           0 B           0 B           0 B           0 B             1  
