-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        aten::transpose         0.11%       8.230ms         0.19%      13.717ms       2.210us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          6208  
                                           aten::matmul         0.14%      10.446ms         4.52%     335.329ms      54.016us       0.000us         0.00%     186.633ms      30.063us           0 B           0 B      11.88 GB           0 B          6208  
                                 cudaDeviceGetAttribute         0.06%       4.734ms         0.06%       4.734ms       0.385us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         12288  
                                        cudaMemsetAsync         0.29%      21.825ms         2.02%     149.990ms      37.200us       0.000us         0.00%       2.312ms       0.573us           0 B           0 B           0 B           0 B          4032  
                                         cuLaunchKernel         0.47%      35.042ms         0.47%      35.042ms       5.703us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          6144  
                                 aten::split_with_sizes         0.08%       5.766ms         0.11%       8.039ms       3.925us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2048  
                          vllm::unified_kv_cache_update         0.50%      36.853ms         1.18%      87.683ms      42.814us       0.000us         0.00%       4.053ms       1.979us           0 B           0 B           0 B           0 B          2048  
                                           aten::unbind         0.14%      10.604ms         0.33%      24.746ms       6.041us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          4096  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 7.414s
Self CUDA time total: 7.092s

