-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us       9.696us         0.00%       9.696us       9.696us           0 B           0 B           0 B           0 B             1  
                execute_context_1(4096)_generation_0(0)         7.18%     272.762ms         8.76%     332.747ms     332.747ms       0.000us         0.00%     646.606ms     646.606ms           0 B          -1 B      32.07 MB      -4.53 GB             1  
                                            aten::zero_         0.01%     445.714us         0.12%       4.535ms      47.242us       0.000us         0.00%      74.009us       0.771us           0 B           0 B           0 B           0 B            96  
                                       cudaLaunchKernel         6.13%     232.703ms         6.13%     232.896ms       6.551us       0.000us         0.00%      29.280us       0.001us           0 B           0 B           0 B           0 B         35552  
                                            aten::empty         3.45%     131.187ms         3.45%     131.210ms       3.042us       0.000us         0.00%       0.000us       0.000us           0 B           0 B      24.13 GB      24.13 GB         43138  
                                          cudaHostAlloc         0.04%       1.459ms         0.04%       1.459ms     182.338us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             8  
                                               aten::to         0.06%       2.147ms         0.53%      19.943ms       4.240us       0.000us         0.00%       1.155ms       0.245us           0 B           0 B      12.06 MB           0 B          4704  
                                       aten::lift_fresh         0.00%      52.069us         0.00%      52.069us       0.180us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           290  
                                          aten::detach_         0.00%       0.761us         0.00%       0.761us       0.381us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                         aten::_to_copy         0.06%       2.172ms         0.47%      17.796ms      18.499us       0.000us         0.00%       1.155ms       1.200us           0 B           0 B      12.06 MB           0 B           962  
                                    aten::empty_strided         1.14%      43.142ms         1.18%      44.795ms       4.333us       0.000us         0.00%       0.000us       0.000us           0 B           0 B       1.06 GB       1.06 GB         10338  
                                        cudaMemcpyAsync         2.50%      94.807ms         2.54%      96.511ms       9.028us       0.000us         0.00%       0.864us       0.000us           0 B           0 B           0 B           0 B         10690  
                                         cudaEventQuery         0.01%     217.492us         0.01%     217.492us       0.766us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           284  
                                            aten::slice         0.85%      32.371ms         1.08%      41.183ms       1.585us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         25987  
                                       aten::as_strided         0.88%      33.552ms         0.88%      33.552ms       0.443us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         75749  
                                          aten::flatten         0.06%       2.290ms         0.07%       2.553ms       0.409us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          6240  
