-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          aten::resize_         0.01%      98.526us         0.01%      98.526us       3.079us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     472.00 KB     472.00 KB            32  
                                           aten::expand         0.29%       3.697ms         0.37%       4.715ms       1.534us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          3073  
                                           aten::linear         0.47%       5.997ms         8.13%     103.252ms      33.264us       0.000us         0.00%      66.935ms      21.564us           0 B           0 B      39.33 MB           0 B          3104  
                                                aten::t         0.45%       5.741ms         0.94%      11.885ms       3.829us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          3104  
                                        aten::transpose         0.49%       6.282ms         0.78%       9.868ms       1.623us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          6080  
                                           aten::matmul         0.37%       4.718ms         6.72%      85.370ms      27.503us       0.000us         0.00%      66.935ms      21.564us           0 B           0 B      39.33 MB           0 B          3104  
                                 cudaDeviceGetAttribute         0.15%       1.928ms         0.15%       1.928ms       0.374us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          5152  
                                         cuLaunchKernel         0.52%       6.650ms         0.52%       6.650ms       6.113us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1088  
                                    cudaLaunchKernelExC         1.35%      17.120ms         1.35%      17.120ms       5.404us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          3168  
                                 aten::split_with_sizes         0.21%       2.677ms         0.28%       3.558ms       3.475us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1024  
                          vllm::unified_kv_cache_update         1.41%      17.902ms         3.33%      42.336ms      41.344us       0.000us         0.00%       1.917ms       1.872us           0 B           0 B           0 B           0 B          1024  
                                           aten::unbind         0.42%       5.337ms         1.00%      12.747ms       6.224us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2048  
                                           aten::select         0.39%       4.923ms         0.59%       7.462ms       1.808us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          4127  
                    vllm::unified_attention_with_output         3.33%      42.290ms        18.77%     238.391ms     232.803us       0.000us         0.00%       6.463ms       6.311us           0 B           0 B           0 B      -1.09 MB          1024  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.270s
Self CUDA time total: 586.753ms

