-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     528.122us         0.01%     528.122us       5.501us           0 B           0 B           0 B           0 B            96  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     464.479us         0.01%     464.479us       0.629us           0 B           0 B           0 B           0 B           738  
                                           _C::rms_norm         0.01%     610.528us         0.02%       1.273ms      13.261us     252.379us         0.00%     252.379us       2.629us           0 B           0 B           0 B           0 B            96  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 2>(c10:...         0.00%       0.000us         0.00%       0.000us       0.000us     252.379us         0.00%     252.379us       2.629us           0 B           0 B           0 B           0 B            96  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     246.298us         0.00%     246.298us       2.566us           0 B           0 B           0 B           0 B            96  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     222.243us         0.00%     222.243us       2.315us           0 B           0 B           0 B           0 B            96  
                                 aten::_index_put_impl_         0.02%       1.259ms         1.95%     162.288ms       1.691ms     215.229us         0.00%     542.808us       5.654us           0 B           0 B           0 B     -96.00 KB            96  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     215.229us         0.00%     215.229us       2.242us           0 B           0 B           0 B           0 B            96  
                                              aten::add         0.02%       1.563ms         0.03%       2.682ms       9.313us     213.278us         0.00%     215.422us       0.748us           0 B           0 B     191.00 KB     191.00 KB           288  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     184.794us         0.00%     184.794us       1.925us           0 B           0 B           0 B           0 B            96  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     111.806us         0.00%     111.806us       1.165us           0 B           0 B           0 B           0 B            96  
                                           aten::gather         0.01%     567.139us         0.01%       1.014ms      15.838us     107.934us         0.00%     107.934us       1.686us           0 B           0 B           0 B           0 B            64  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     107.934us         0.00%     107.934us       1.686us           0 B           0 B           0 B           0 B            64  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     101.472us         0.00%     101.472us       1.057us           0 B           0 B           0 B           0 B            96  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      99.263us         0.00%      99.263us       1.034us           0 B           0 B           0 B           0 B            96  
                                              aten::sub         0.01%     923.533us         0.02%       1.650ms      17.187us      85.344us         0.00%      86.208us       0.898us           0 B           0 B      48.00 KB      48.00 KB            96  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      85.344us         0.00%      85.344us       0.889us           0 B           0 B           0 B           0 B            96  
                                            aten::fill_         0.02%       1.328ms         0.03%       2.513ms       4.363us      73.445us         0.00%      73.445us       0.128us           0 B           0 B           0 B           0 B           576  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      73.445us         0.00%      73.445us       0.765us           0 B           0 B           0 B           0 B            96  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      72.223us         0.00%      72.223us       2.257us           0 B           0 B           0 B           0 B            32  
                       Runtime Triggered Module Loading         1.37%     113.897ms         1.37%     113.897ms      56.948ms      61.119us         0.00%      61.119us      30.559us           0 B           0 B           0 B           0 B             2  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      58.813us         0.00%      58.813us       0.613us           0 B           0 B           0 B           0 B            96  
                                       cuLaunchKernelEx         0.01%     639.817us         0.01%     639.817us       6.665us      52.319us         0.00%      52.319us       0.545us           0 B           0 B           0 B           0 B            96  
                                     aten::index_select         0.01%     986.254us         0.03%       2.891ms      15.059us      46.049us         0.00%     153.983us       0.802us           0 B           0 B     126.93 MB           0 B           192  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      46.049us         0.00%      46.049us       1.439us           0 B           0 B           0 B           0 B            32  
void tensorrt_llm::kernels::cutlass_kernels::fusedBu...         0.00%       0.000us         0.00%       0.000us       0.000us      39.775us         0.00%      39.775us       1.243us           0 B           0 B           0 B           0 B            32  
                                    cudaStreamWaitEvent         0.00%      98.260us         0.00%      98.260us       1.024us       5.408us         0.00%       5.408us       0.056us           0 B           0 B           0 B           0 B            96  
                 execute_context_1(256)_generation_0(0)         7.82%     651.359ms        24.82%        2.066s      32.797ms       0.000us         0.00%        7.031s     111.603ms           0 B         -63 B     130.34 MB     -19.80 GB            63  
                                            aten::empty         1.44%     119.608ms         1.44%     119.817ms       3.064us       0.000us         0.00%       0.000us       0.000us           0 B           0 B      88.19 GB      88.19 GB         39106  
                                          cudaHostAlloc         0.00%      54.673us         0.00%      54.673us      18.224us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                               aten::to         0.02%       1.631ms         2.09%     173.859ms      42.076us       0.000us         0.00%       1.122ms       0.272us           0 B           0 B      12.19 MB           0 B          4132  
                                       aten::lift_fresh         0.00%      55.836us         0.00%      55.836us       0.193us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           290  
                                          aten::detach_         0.00%       0.631us         0.00%       0.631us       0.315us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                         aten::_to_copy         0.02%       1.822ms         2.07%     172.227ms     223.672us       0.000us         0.00%       1.122ms       1.457us           0 B           0 B      12.19 MB           0 B           770  
                                    aten::empty_strided         0.38%      31.852ms         0.38%      32.047ms       4.037us       0.000us         0.00%       0.000us       0.000us           0 B           0 B       3.99 GB       3.99 GB          7938  
                                        cudaMemcpyAsync         0.52%      42.889ms         0.52%      42.889ms       8.321us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          5154  
                                         cudaEventQuery         0.00%     170.283us         0.00%     170.283us       1.085us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           157  
                                            aten::slice         0.28%      23.312ms         0.37%      30.793ms       1.365us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         22564  
                                       aten::as_strided         0.36%      29.605ms         0.36%      29.605ms       0.453us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         65348  
                                          aten::flatten         0.02%       1.990ms         0.03%       2.234ms       0.358us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          6240  
                                             aten::view         0.28%      23.141ms         0.28%      23.141ms       0.530us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         43648  
                                           aten::detach         0.00%     174.083us         0.00%     174.083us       0.907us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           192  
                                     aten::resolve_conj         0.00%      67.656us         0.00%      67.656us       0.236us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           287  
                                      aten::resolve_neg         0.00%      29.661us         0.00%      29.661us       0.103us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           287  
                                       cudaLaunchKernel         2.22%     184.533ms         4.25%     354.262ms      12.060us       0.000us         0.00%     677.881us       0.023us           0 B           0 B           0 B           0 B         29376  
                                          aten::reshape         0.12%      10.165ms         0.18%      15.276ms       1.438us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         10624  
                                               aten::lt         0.00%     377.775us         0.00%     377.775us       3.935us       0.000us         0.00%       0.000us       0.000us          96 B          96 B           0 B           0 B            96  
                                        aten::embedding         0.00%     123.801us         0.03%       2.831ms      29.485us       0.000us         0.00%     153.983us       1.604us           0 B           0 B     126.93 MB           0 B            96  
                                          aten::resize_         0.00%     272.098us         0.00%     272.098us       2.834us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     126.93 MB     126.93 MB            96  
                                           aten::expand         0.13%      10.995ms         0.17%      13.954ms       1.504us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          9280  
                                           aten::linear         0.22%      17.940ms         5.94%     494.507ms      53.104us       0.000us         0.00%     253.297ms      27.201us           0 B           0 B      11.90 GB           0 B          9312  
                                                aten::t         0.22%      18.071ms         0.45%      37.879ms       4.068us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          9312  
                                        aten::transpose         0.17%      13.993ms         0.27%      22.743ms       2.002us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         11360  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.326s
Self CUDA time total: 7.686s

