-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     311.402us         0.00%     311.402us       2.756us           0 B           0 B           0 B           0 B           113  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us     294.631us         0.00%     294.631us       9.207us           0 B           0 B           0 B           0 B            32  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     262.441us         0.00%     262.441us       2.322us           0 B           0 B           0 B           0 B           113  
                                 aten::_index_put_impl_         0.01%       1.597ms         2.32%     310.312ms       2.746ms     253.999us         0.00%     688.255us       6.091us           0 B           0 B           0 B    -113.00 KB           113  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     253.999us         0.00%     253.999us       2.248us           0 B           0 B           0 B           0 B           113  
                                              aten::add         0.01%       1.893ms         0.02%       3.176ms       9.369us     244.298us         0.00%     246.473us       0.727us           0 B           0 B     281.00 KB     281.00 KB           339  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     213.796us         0.00%     213.796us       1.892us           0 B           0 B           0 B           0 B           113  
                                  Lazy Function Loading         0.00%     377.371us         0.00%     377.371us      37.737us     188.422us         0.00%     188.422us      18.842us           0 B           0 B           0 B           0 B            10  
                                           aten::gather         0.01%     998.403us         0.01%       1.808ms      16.140us     180.676us         0.00%     180.676us       1.613us           0 B           0 B           0 B           0 B           112  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     180.676us         0.00%     180.676us       1.613us           0 B           0 B           0 B           0 B           112  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     131.430us         0.00%     131.430us       1.163us           0 B           0 B           0 B           0 B           113  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     118.286us         0.00%     118.286us       1.047us           0 B           0 B           0 B           0 B           113  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     112.868us         0.00%     112.868us       0.999us           0 B           0 B           0 B           0 B           113  
                                              aten::sub         0.01%       1.121ms         0.02%       2.039ms      18.040us     100.744us         0.00%     101.608us       0.899us           0 B           0 B      56.50 KB      56.50 KB           113  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     100.744us         0.00%     100.744us       0.892us           0 B           0 B           0 B           0 B           113  
                       Runtime Triggered Module Loading         0.86%     115.449ms         0.86%     115.449ms      57.725ms      94.916us         0.00%      94.916us      47.458us           0 B           0 B           0 B           0 B             2  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      90.400us         0.00%      90.400us       0.800us           0 B           0 B           0 B           0 B           113  
                                            aten::fill_         0.01%       1.558ms         0.02%       2.916ms       4.302us      86.306us         0.00%      86.306us       0.127us           0 B           0 B           0 B           0 B           678  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      86.306us         0.00%      86.306us       0.764us           0 B           0 B           0 B           0 B           113  
                                    cudaStreamWaitEvent         0.00%     120.720us         0.00%     120.720us       1.068us      55.426us         0.00%      55.426us       0.490us           0 B           0 B           0 B           0 B           113  
void tensorrt_llm::kernels::cutlass_kernels::fusedBu...         0.00%       0.000us         0.00%       0.000us       0.000us      44.098us         0.00%      44.098us       1.378us           0 B           0 B           0 B           0 B            32  
                                     aten::index_select         0.01%       1.195ms         0.03%       3.944ms      17.451us       1.536us         0.00%     182.212us       0.806us           0 B           0 B     224.01 MB           0 B           226  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       1.536us         0.00%       1.536us       1.536us           0 B           0 B           0 B           0 B             1  
                                           Buffer Flush         0.00%     408.914us         0.00%     423.238us      60.463us       1.440us         0.00%       1.440us       0.206us           0 B           0 B      -5.99 MB      -5.99 MB             7  
                 execute_context_1(256)_generation_0(0)         7.32%     977.034ms        27.02%        3.608s      32.213ms       0.000us         0.00%       12.954s     115.661ms           0 B        -112 B     231.71 MB     -35.22 GB           112  
                                            aten::empty         1.03%     138.174ms         1.04%     138.199ms       3.163us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     154.46 GB     154.46 GB         43686  
                                          cudaHostAlloc         0.00%      56.550us         0.00%      56.550us      18.850us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                               aten::to         0.02%       2.069ms         2.43%     324.170ms      66.606us       0.000us         0.00%       1.397ms       0.287us           0 B           0 B      14.45 MB           0 B          4867  
                                       aten::lift_fresh         0.00%      57.800us         0.00%      57.800us       0.169us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           343  
                                          aten::detach_         0.00%       1.193us         0.00%       1.193us       0.298us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             4  
                                         aten::_to_copy         0.02%       2.150ms         2.41%     322.101ms     354.737us       0.000us         0.00%       1.397ms       1.539us           0 B           0 B      14.45 MB           0 B           908  
                                    aten::empty_strided         0.25%      33.967ms         0.26%      34.216ms       4.187us       0.000us         0.00%       0.000us       0.000us           0 B           0 B       7.02 GB       7.02 GB          8172  
                                        cudaMemcpyAsync         0.30%      40.705ms         0.30%      40.705ms       8.319us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          4893  
                                         cudaEventQuery         0.00%     216.946us         0.00%     216.946us       0.973us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           223  
                                            aten::slice         0.20%      26.653ms         0.27%      35.457ms       1.335us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         26561  
                                       aten::as_strided         0.26%      34.148ms         0.26%      34.148ms       0.457us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         74648  
                                          aten::flatten         0.02%       2.383ms         0.02%       2.631ms       0.358us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          7345  
                                             aten::view         0.20%      26.785ms         0.20%      26.785ms       0.559us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         47894  
                                           aten::detach         0.00%     209.072us         0.00%     209.072us       0.925us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           226  
                                     aten::resolve_conj         0.00%      83.873us         0.00%      83.873us       0.247us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           339  
                                      aten::resolve_neg         0.00%      33.172us         0.00%      33.172us       0.098us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           339  
                                       cudaLaunchKernel         1.46%     194.653ms         4.06%     541.763ms      17.444us       0.000us         0.00%       3.427ms       0.110us           0 B           0 B           0 B           0 B         31058  
                                          aten::reshape         0.04%       5.806ms         0.07%       9.353ms       1.197us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          7812  
                                               aten::lt         0.00%     451.125us         0.00%     451.125us       3.992us       0.000us         0.00%       0.000us       0.000us         113 B         113 B           0 B           0 B           113  
                                        aten::embedding         0.00%     145.039us         0.03%       3.867ms      34.225us       0.000us         0.00%     182.212us       1.612us           0 B           0 B     224.01 MB           0 B           113  
                                          aten::resize_         0.00%     308.568us         0.00%     308.568us       2.731us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     224.01 MB     224.01 MB           113  
                                           aten::expand         0.10%      13.291ms         0.13%      16.711ms       1.525us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         10960  
                                           aten::linear         0.16%      21.958ms         5.97%     796.416ms      72.659us       0.000us         0.00%     331.103ms      30.207us           0 B           0 B      21.02 GB           0 B         10961  
                                                aten::t         0.16%      21.060ms         0.34%      44.783ms       4.086us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         10961  
                                        aten::transpose         0.11%      14.292ms         0.18%      23.809ms       2.160us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         11025  
                                           aten::matmul         0.14%      19.294ms         5.47%     729.675ms      66.570us       0.000us         0.00%     331.103ms      30.207us           0 B           0 B      21.02 GB           0 B         10961  
                                 cudaDeviceGetAttribute         0.07%       8.681ms         0.07%       8.681ms       0.401us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         21664  
                                        cudaMemsetAsync         0.29%      39.133ms         2.99%     399.622ms      55.751us       0.000us         0.00%       6.100ms       0.851us           0 B           0 B           0 B           0 B          7168  
                                         cuLaunchKernel         0.46%      61.072ms         0.46%      61.072ms       5.663us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         10784  
                                 aten::split_with_sizes         0.07%       9.850ms         0.10%      13.754ms       3.804us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          3616  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 13.350s
Self CUDA time total: 12.959s

